source,line,function,wrapper,recognized_guard_calls
apps/api/convex/delivery/unsubscribeHttp.ts,157,handleSeedProbeUnsubscribe,publicTokenEndpoint,
apps/api/convex/desktop/updates.ts,286,checkNow,authedAction,assertPolicyManager
apps/api/convex/desktop/updates.ts,302,manifestForClient,publicQuery,
apps/api/convex/desktop/updates.ts,334,getPolicySummary,publicQuery,requiredVersion
apps/api/convex/desktop/updates.ts,358,getPolicy,authedQuery,
apps/api/convex/desktop/updates.ts,374,listReleases,authedQuery,requirePermission; hasPermission
apps/api/convex/desktop/updates.ts,402,updatePolicy,authedMutation,requiredVersion; requirePermission; hasPermission; required
apps/api/convex/devShortcuts/forceVerifyDomain.ts,137,forceVerifyDomain,authedMutation,assertDevDeployment; requireOrgPermission
apps/api/convex/devShortcuts/resetHttp.ts,21,resetHttp,httpAction,
apps/api/convex/domains/dnsVerification.ts,369,verifyDomain,authedAction,
apps/api/convex/domains/dnsVerification.ts,470,checkReceivingReverseDns,authedAction,
apps/api/convex/domains/dnsVerification.ts,493,checkExternalReceivingMx,authedAction,
apps/api/convex/domains/domains.ts,60,listByOrganization,authedQuery,
apps/api/convex/domains/domains.ts,87,getInboundMailConfig,authedQuery,requireOrgPermission
apps/api/convex/domains/domains.ts,97,listVerified,authedQuery,
apps/api/convex/domains/domains.ts,127,create,authedMutation,requireOrgPermission
apps/api/convex/domains/domains.ts,178,remove,authedMutation,requireOrgPermission
apps/api/convex/domains/domains.ts,201,regenerateDnsRecords,authedMutation,requireOrgPermission
apps/api/convex/domains/domains.ts,229,setDmarcPolicy,authedMutation,requireOrgPermission
apps/api/convex/domains/domains.ts,271,setReceivingMode,authedMutation,requirePermission; hasPermission
apps/api/convex/domains/domains.ts,400,getEmailDomainVerificationStatus,authedQuery,
apps/api/convex/domains/mandrillRelayQueries.ts,54,listIdentities,authedQuery,requireOrgPermission; verifyTxtKey
apps/api/convex/domains/mtaSts.ts,37,getMtaStsPolicy,publicQuery,
apps/api/convex/domains/mtaSts.ts,66,getMtaStsGuidance,authedQuery,requireOrgPermission
apps/api/convex/domains/mtaStsVerify.ts,82,verifyReceivingMtaSts,authedAction,verifyMtaStsPublication
apps/api/convex/domains/returnPath.ts,24,setReturnPathHost,authedMutation,requireOrgPermission; requires
apps/api/convex/domains/streamSubdomainWizard.ts,210,getStreamSubdomainPlan,authedQuery,requireOrgPermission
apps/api/convex/domains/tlsReports.ts,142,getTlsReportSummary,adminQuery,
apps/api/convex/domains/tlsReportsHttp.ts,61,handleTlsReportWebhook,httpAction,checkPublicRateLimit
apps/api/convex/domains/trackingDomains.ts,47,addTrackingDomain,authedMutation,requireAdminContext
apps/api/convex/domains/trackingDomains.ts,79,verifyTrackingDomain,authedMutation,requireAdminContext; verifyTrackingDomainDns; verifyDomain
apps/api/convex/domains/trackingDomains.ts,108,listTrackingDomains,authedQuery,
apps/api/convex/domains/trackingDomains.ts,116,removeTrackingDomain,authedMutation,requireAdminContext
apps/api/convex/domains/yahooCfl.ts,265,getGuide,authedQuery,requireOrgPermission
apps/api/convex/domains/yahooCfl.ts,313,submitEnrollment,authedMutation,requireOrgPermission
apps/api/convex/domains/yahooCfl.ts,320,confirmEnrollment,authedMutation,requireOrgPermission
apps/api/convex/domains/yahooCfl.ts,327,resetEnrollment,authedMutation,requireOrgPermission
apps/api/convex/e2ee/keys.ts,342,getKeyForWkd,publicQuery,assertWithinLimit
apps/api/convex/e2ee/keys.ts,421,backfillKeys,adminMutation,assertFeatureEnabled
apps/api/convex/e2ee/lifecycle.ts,205,rotateAddressKey,adminMutation,assertFeatureEnabled
apps/api/convex/e2ee/lifecycle.ts,220,revokeAddressKey,adminMutation,assertFeatureEnabled
apps/api/convex/e2ee/lifecycle.ts,235,reSealVault,adminMutation,assertFeatureEnabled
apps/api/convex/e2ee/lifecycleNode.ts,240,exportRecoveryKit,authedAction,assertAdmin; assertSealedMailEnabled
apps/api/convex/e2ee/lifecycleNode.ts,287,exportOwnRecoveryKit,authedAction,verifyPassword; verifyCurrentUserPassword
apps/api/convex/e2ee/lifecycleNode.ts,314,importRecoveryKit,authedAction,assertAdmin
apps/api/convex/e2ee/manifest.ts,153,getSignedManifest,publicAction,
apps/api/convex/e2ee/memberKeys.ts,146,getOwnSealedMailStatus,authedQuery,
apps/api/convex/e2ee/recipientKeys.ts,142,getRecipientKeyStatus,authedQuery,
apps/api/convex/e2ee/recipientKeys.ts,214,setContactKeyVerified,authedMutation,verifying; assertFeatureEnabled
apps/api/convex/e2ee/recipientKeys.ts,264,reacceptKeyChange,adminMutation,assertFeatureEnabled
apps/api/convex/emailBlocks/blocks.ts,60,get,authedQuery,
apps/api/convex/emailBlocks/blocks.ts,72,getStatsByTeam,authedQuery,
apps/api/convex/emailBlocks/blocks.ts,85,getRecentByTeam,authedQuery,
apps/api/convex/emailBlocks/blocks.ts,105,list,authedQuery,
apps/api/convex/emailBlocks/blocks.ts,152,create,authedMutation,requireOrgPermission
